DAQ_Elapsed_Time,V_mon,I_mon
13.1,4.410649426630698,0.015575212659314275
13.2,4.417083439533599,0.010428002336993814
13.3,4.420622146630194,0.007210995885543525
13.4,4.422874051146209,0.012358206207863986
13.5,4.42673445888795,0.012358206207863986
13.6,4.427699560823385,0.0113931042724289
13.7,4.428986363403965,0.011714804917573929
13.8,4.4367071788874455,0.010749702982138842
13.9,4.439924185338896,0.010749702982138842
14.0,4.438637382758316,0.010106301691848785
14.1,4.445714796951506,0.011071403627283871
14.2,4.4482884021126665,0.012036505562718958
14.3,4.449575204693247,0.007210995885543525
14.4,4.455044115660712,0.014931811369024217
14.5,4.457296020176727,0.00849779846612364
14.6,4.461478128563613,0.010749702982138842
14.7,4.461799829208758,0.012036505562718958
14.8,4.467590440821368,0.012036505562718958
14.9,4.471450848563109,0.00881949911126867
